2.1,1,-3.453e-12,7.956e-09,2.559e-10,-1.348e-06,5.769e-10,2.1,1.087e-11,2.126e-08,2.251e-09,-1.719e-06,8.769e-10,0,0,0,0,0,111,2.883e-06,-3.834e-12,4.155e-09,-1.453e-09,-2.258e-07,-2.952e-11
2.2,1,-3.835e-12,8.367e-09,1.133e-10,-1.368e-06,5.725e-10,2.2,1.206e-11,2.426e-08,2.277e-09,-1.854e-06,9.346e-10,0,0,0,0,0,111,2.874e-06,-3.813e-12,4.108e-09,-1.426e-09,-1.974e-07,-4.44e-11
2.3,1,-4.212e-12,8.772e-09,-2.519e-11,-1.385e-06,5.667e-10,2.3,1.331e-11,2.749e-08,2.288e-09,-1.99e-06,9.918e-10,0,0,0,0,0,111,2.866e-06,-3.773e-12,4.054e-09,-1.385e-09,-1.705e-07,-5.796e-11
2.4,1,-4.583e-12,9.172e-09,-1.585e-10,-1.4e-06,5.596e-10,2.4,1.462e-11,3.096e-08,2.286e-09,-2.129e-06,1.048e-09,0,0,0,0,0,111,2.857e-06,-3.714e-12,3.994e-09,-1.333e-09,-1.45e-07,-7.028e-11
2.5,1,-4.947e-12,9.564e-09,-2.856e-10,-1.412e-06,5.515e-10,2.5,1.599e-11,3.468e-08,2.27e-09,-2.269e-06,1.104e-09,0,0,0,0,0,111,2.848e-06,-3.639e-12,3.928e-09,-1.271e-09,-1.208e-07,-8.145e-11
2.6,1,-5.302e-12,9.95e-09,-4.057e-10,-1.422e-06,5.423e-10,2.6,1.742e-11,3.864e-08,2.241e-09,-2.41e-06,1.16e-09,0,0,0,0,0,111,2.84e-06,-3.55e-12,3.856e-09,-1.201e-09,-9.796e-08,-9.155e-11
2.7,1,-5.647e-12,1.033e-08,-5.181e-10,-1.429e-06,5.323e-10,2.7,1.891e-11,4.285e-08,2.201e-09,-2.552e-06,1.214e-09,0,0,0,0,0,111,2.831e-06,-3.447e-12,3.779e-09,-1.124e-09,-7.633e-08,-1.007e-10
2.8,1,-5.98e-12,1.07e-08,-6.221e-10,-1.435e-06,5.214e-10,2.8,2.047e-11,4.73e-08,2.149e-09,-2.695e-06,1.267e-09,0,0,0,0,0,111,2.823e-06,-3.332e-12,3.698e-09,-1.041e-09,-5.59e-08,-1.089e-10
2.9,1,-6.301e-12,1.106e-08,-7.176e-10,-1.439e-06,5.098e-10,2.9,2.208e-11,5.201e-08,2.087e-09,-2.839e-06,1.319e-09,0,0,0,0,0,111,2.814e-06,-3.208e-12,3.613e-09,-9.544e-10,-3.662e-08,-1.162e-10
3,1,-6.608e-12,1.141e-08,-8.041e-10,-1.44e-06,4.975e-10,3,2.375e-11,5.696e-08,2.015e-09,-2.982e-06,1.37e-09,0,0,0,0,0,111,2.806e-06,-3.075e-12,3.524e-09,-8.649e-10,-1.845e-08,-1.228e-10
